"","Amiskwia_sagittiformis","Cephalochordata_Branchiostoma","Tunicata_Ciona","Shankouclava_anningense_cs3","Phlogites_longus_cs3","Herpetogaster_collinsi","Rotadiscus_cs3","Hemichordata_Gyaltsenglossus","Hemichordata_Spartobranchus","Hemichordata_Oesia","Pterobranch_Rhabdopleura","Pterobranch_Cephalodiscus","Enteropneusta_Harrimaniidae_Saccoglossus","Enteropneusta_Spengelidae_Glandiceps","Yanjiahella_biscarpa_cs1_tentacles","Banffia_constricta_cs5","Vetulicola_cuneata_cs3","Beidazoon_venustum_cs3","Vetulocystis_catenata_cs3","Cinctan_Bohemiacinctus_havliceki_cs5","Ctenoimbricata_spinosa_cs5","Ctenocystoid_Courtessolea_cs6-5","Mitrate_Mitrocystella_incipiens_om","Mitrate_Lagynocystis_pyramidalis_os2","Cornute_Ponticulocarpus_cs5","Cornute?_Ceratocystis_perneri_cs5-4","Solute_Coleicarpus_sprinklei_cs6","Solute_Castericystis_vali_cs6","Edrioasteroidea_Stromatocystites_cs4-5","Edrioasteroidea_Kailidiscus_chinensis_cs5","Edrioasteroidea_Camptostroma_cs4","Helicocystis_moroccoensis_cs5","Helicoplacus_cs3","Crinoidea_Aethocrinus_os1","Eocrinoidea_Kinzercystis_cs4","Eocrinoidea_Lyracystis_radiata_cs5","Eocrinoidea_Gogia_cs4","Eocrinoidea_Ubaghsicystis_cs5","Eocrinoidea_Akadocrinus_cs6","Eocrinoidea_Rhombifera_Pleurocystites_om","Eocrinoidea_Rhombifera_Macrocystella_os1"
"min",7.73137246352575,7.13458707229326,7.94401608587873,0,0,0,0,6.90308668546005,0.644864947752069,0.644864947752069,0,0,0,0,0,6.6760650587,7.00884505072483,0,1.29401078546593,0,0,7.76519822737512,0,8.67186605311522,7.52755867170136,1.72758433459519,0,0,0,2.42878890950224,1.97592059020101,0,0,10.0691172239699,1.83227740851968,0,0,0,0,0,0.433573549129228
"dwMean",9.61559335152952,9.27992203035401,9.63467402620391,6.80065691550899,3.54533434364885,4.91227980711623,4.40414258340984,8.83684019828206,3.90096381299596,3.97199008307984,3.55055878171794,5.54838185041638,3.40624073519344,3.96409668119135,5.08567102242728,8.77392344086645,8.89298658919677,8.84406099604061,4.8557297896085,3.50030230441088,6.25907909531186,9.63255349954109,4.0411123824306,10.5668192088202,9.4763084119045,3.33184517881201,3.83833544614589,6.16578882597832,4.18239366303622,4.91720514197965,7.67018186272208,3.51192517783218,3.46047476688194,11.4770796144497,3.50485443872844,4.202346226234,3.73022881840462,3.61676720979462,7.49068423650763,3.63713610606814,2.72704876053847
"max",11.3759740432579,11.6846881070674,11.3323460040186,11.5759940306254,6.85356341064393,8.13200562171261,8.93108733959352,10.6227311571723,6.93107926202172,6.93107926202172,7.18810999665369,10.2908069369687,6.28621431426962,7.09404785591379,8.59751379046427,11.3083311416205,10.9274521179498,13.1624500066068,7.28549533649922,6.69913213223742,11.6314620623547,12.164789065215,7.23225088760037,12.1529068157034,11.8111523747467,4.60288185280066,7.25418224467251,12.0130367376403,6.40872244094765,7.01822920924143,11.5759997611091,7.01822920924143,6.93063787441869,12.8894680400211,4.61511754306592,7.28917325567664,7.01855774333055,6.66778862264906,11.7781984841955,7.05920997895476,4.64803302755215
